playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
cabremi01,2015,1,DET,AL,119,429,64,145,28,1,18,76,1,1,77,82
cabrera01,2015,1,CIN,NL,13,30,4,11,1,0,1,3,0,0,0,5
cahiltr01,2015,1,ATL,NL,15,5,0,1,0,0,0,0,0,0,0,2
cahiltr01,2015,2,CHN,NL,11,2,0,0,0,0,0,0,0,0,1,0
cainlo01,2015,1,KCA,AL,140,551,101,169,34,6,16,72,28,6,37,98
cainma01,2015,1,SFN,NL,13,16,0,0,0,0,0,1,0,0,0,9
calhoko01,2015,1,LAA,AL,159,630,78,161,23,2,26,83,4,1,45,164
calixor01,2015,1,KCA,AL,2,3,1,0,0,0,0,0,0,0,0,0
callaal01,2015,1,ATL,NL,37,107,12,22,2,0,1,8,0,0,14,10
callaal01,2015,2,LAN,NL,60,123,8,32,5,0,0,7,0,0,14,24
caminar01,2015,1,PIT,NL,73,0,0,0,0,0,0,0,0,0,0,0
campber01,2015,1,NYN,NL,71,173,28,34,8,0,3,19,5,3,26,37
campole01,2015,1,SDN,NL,1,0,0,0,0,0,0,0,0,0,0,0
canhama01,2015,1,OAK,AL,124,441,61,112,22,3,16,70,7,2,33,96
canoro01,2015,1,SEA,AL,156,624,82,179,34,1,21,79,2,6,43,107
cappsca01,2015,1,MIA,NL,30,2,0,1,0,0,0,0,0,0,0,1
capuach01,2015,1,NYA,AL,22,1,0,0,0,0,0,0,0,0,0,0
carlybu01,2015,1,NYN,NL,11,0,0,0,0,0,0,0,0,0,0,0
carmofa01,2015,1,HOU,AL,20,2,1,0,0,0,0,0,0,0,1,2
carpeda01,2015,1,NYA,AL,22,0,0,0,0,0,0,0,0,0,0,0
carpeda01,2015,2,WAS,NL,8,0,0,0,0,0,0,0,0,0,0,0
carpeda02,2015,1,ATL,NL,4,0,0,0,0,0,0,0,0,0,0,0
carpema01,2015,1,SLN,NL,154,574,101,156,44,3,28,84,4,3,81,151
carraca01,2015,1,CLE,AL,30,1,0,1,0,0,0,0,0,0,0,0
carreez01,2015,1,TOR,AL,91,172,27,47,8,0,3,26,2,1,11,45
carrosc02,2015,1,CHA,AL,18,0,0,0,0,0,0,0,0,0,0,0
cartech02,2015,1,HOU,AL,129,391,50,78,17,0,24,64,1,2,57,151
casalcu01,2015,1,TBA,AL,38,101,13,24,6,0,10,18,0,0,8,34
cashnan01,2015,1,SDN,NL,38,60,2,5,0,0,0,1,0,0,1,24
casteni01,2015,1,DET,AL,154,549,42,140,33,6,15,73,0,3,39,152
